record_type,artifact_name,status,path,source_url,detail
actual_input,graphsage_ppi.zip,verified_present,/mnt/data/graphsage_ppi.zip,https://snap.stanford.edu/graphsage/ppi.zip,sha256=53aeb76e54fd41b645e7edb48b62929240b89839495396b048086fd212503fbd; bytes=27029260
actual_input,dgl_ppi.zip,verified_present,/mnt/data/dgl_ppi.zip,https://data.dgl.ai/dataset/ppi.zip,sha256=1f5b2b09ac0f897fa6aa1338c64ab75a5473674cbba89380120bede8cddb2a6a; bytes=7088822
actual_input,bio-tissue-networks.tar.gz,verified_present,/mnt/data/bio-tissue-networks.tar.gz,https://snap.stanford.edu/ohmnet/bio-tissue-networks.tar.gz,sha256=2c79e17f4a7c8680a7cbf8b20cef4acf356a7523c9a75fce586494153c0603d1; bytes=15568869
actual_input,bio-tissue-labels.tar.gz,verified_present,/mnt/data/bio-tissue-labels.tar.gz,https://snap.stanford.edu/ohmnet/bio-tissue-labels.tar.gz,sha256=6abf272940d2407849bd779e5f85c0377a2fb07c2351d1ebc82e3d06a46bc11d; bytes=1793328
actual_input,bio-tissue-hierarchy.tar.gz,verified_present,/mnt/data/bio-tissue-hierarchy.tar.gz,https://snap.stanford.edu/ohmnet/bio-tissue-hierarchy.tar.gz,sha256=c4568a68bb83319bff854eecf73a93f698fe2c41ed6e95639af974dd024ffef7; bytes=421785
actual_input,bio-tissue-readme.txt,verified_present,/mnt/data/bio-tissue-readme.txt,https://snap.stanford.edu/ohmnet/bio-tissue-readme.txt,sha256=7f3372f8ae3a90852951c73b18980386ceb4ad2f5d32d81366adf22fd75e2b20; bytes=1465
actual_input,msigdb_v5.1_files_to_download_locally.zip,verified_present,/mnt/data/msigdb_v5.1_files_to_download_locally.zip,https://www.gsea-msigdb.org/gsea/downloads.jsp,sha256=5a8b3f10ea92f8e71eaaa0705ab9d3a5229d838864eec9699544b75884bc9e29; bytes=69702250
actual_input,msigdb_v5.2_files_to_download_locally.zip,verified_present,/mnt/data/msigdb_v5.2_files_to_download_locally.zip,https://www.gsea-msigdb.org/gsea/downloads.jsp,sha256=a618c1c60b11570036034e6357e73e80ee43065ec7a57c1dbd238f205405fbdb; bytes=92768160
actual_input,msigdb_v5.2_chip_files_to_download_locally.zip,verified_present,/mnt/data/msigdb_v5.2_chip_files_to_download_locally.zip,https://www.gsea-msigdb.org/gsea/downloads.jsp,sha256=252befc853b5e01cfe99439ec50a7ab8de747cd0abe6224a93077f2d9b0b20fc; bytes=67891640
actual_input,msigdb_v6.0_files_to_download_locally.zip,verified_present,/mnt/data/msigdb_v6.0_files_to_download_locally.zip,https://www.gsea-msigdb.org/gsea/downloads.jsp,sha256=39fa82c4cedc9183c532afb1c1431683536b5945e50fb8be4f5bcce3ac136edf; bytes=72144318
actual_input,Greene2015.pdf,verified_present,/mnt/data/Greene2015.pdf,https://doi.org/10.1038/ng.3259,sha256=15c734d37bf63dc586d9bfb95673612209a2f2d298a0a1dc84fa63a1d7a17ce2; bytes=1729378
actual_input,Greene2015_sup.pdf,verified_present,/mnt/data/Greene2015_sup.pdf,https://www.nature.com/articles/ng.3259#Sec23,sha256=89e84c545590a3d34890f24cf6543a336b59cace8926a83701f503afcd979ed9; bytes=6701167
actual_input,Greene2015_Table6.xlsx,verified_present,/mnt/data/Greene2015_Table6.xlsx,https://www.nature.com/articles/ng.3259#Sec23,sha256=691b9d895ac6d0f6ed7abedb96d9b206965fe221e3ccdae940b4daa5db50533e; bytes=37992
actual_input,Greene2015_Table9.xlsx,verified_present,/mnt/data/Greene2015_Table9.xlsx,https://www.nature.com/articles/ng.3259#Sec23,sha256=18ae68f28d9b84f4b1cb7f7c7c1cc8eb76716414de2089a329f070a5aeca6cd5; bytes=140272
actual_input,OhmNet.pdf,verified_present,/mnt/data/OhmNet.pdf,https://doi.org/10.1093/bioinformatics/btx252,sha256=e60daf8341d0e322ce58e7c6ad194f7e4b573df7c8aba1716ad78c98992b02fe; bytes=1458562
actual_input,investigation_summary_2026_08_23.md,verified_present,/mnt/data/investigation_summary_2026_08_23.md,,sha256=fe23f5d35c1c3a21bba13c2241e0c8c783c31a0a31026c8e5f1c0d7a8c320d16; bytes=13819
actual_input,Pasted markdown(1).md,verified_present,/mnt/data/Pasted markdown(1).md,https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/,sha256=f856e6f29f02a17c83650724f2b8434383dc7952c03e5200d4bb9c47c1c8782e; bytes=237584
actual_input,historical_go_mapping_inventory.md,verified_present,/mnt/data/historical_go_mapping_inventory.md,,sha256=ad10c6ed2919409a3dda0f2e89f4a5f7709cb739f9e3129297b1fa9f497f4b0c; bytes=55969
