path	created_by	artifact_type	purpose	source_inputs	source_url	source_version_date	creation_command	sha256	status	findings_supported	recommended_repo_location
/mnt/user-data/uploads/graphsage_ppi.zip	Hamilton et al. 2017	primary_data	GraphSAGE PPI dataset (56944 nodes, 818716 edges, 50 features, 121 labels)	unknown	snap.stanford.edu/graphsage/ppi.zip	2017	wget	53aeb76e54fd41b645e7edb48b62929240b89839495396b048086fd212503fbd	current	THE dataset under investigation	data/primary/graphsage_ppi.zip
/mnt/user-data/uploads/dgl_ppi.zip	Hao Zhang (DGL)	primary_data	DGL-processed PPI dataset (z-scored features, directed edges, self-loops)	graphsage_ppi.zip	data.dgl.ai/dataset/ppi.zip	2019-01-07 (S3 Last-Modified)	DGL PR #395	1f5b2b09ac0f897fa6aa1338c64ab75a5473674cbba89380120bede8cddb2a6a	current	DGL transformation fully reproduced	data/primary/dgl_ppi.zip
/mnt/user-data/uploads/bio-tissue-networks_tar.gz	Zitnik & Leskovec	primary_data	OhmNet 144 tissue PPI edgelists (BioGRID, Entrez IDs)	BioGRID physical interactions	snap.stanford.edu/ohmnet/	2017	wget	2c79e17f4a7c8680a7cbf8b20cef4acf356a7523c9a75fce586494153c0603d1	current	All 24 GraphSAGE graphs matched to OhmNet tissues	data/primary/bio-tissue-networks.tar.gz
/mnt/user-data/uploads/bio-tissue-labels_tar.gz	Zitnik & Leskovec	primary_data	OhmNet 503 tissue-specific GO label files	GO annotations	snap.stanford.edu/ohmnet/	2017	wget	6abf272940d2407849bd779e5f85c0377a2fb07c2351d1ebc82e3d06a46bc11d	current	NOT the source of GraphSAGE labels (0/121 match)	data/primary/bio-tissue-labels.tar.gz
/mnt/user-data/uploads/bio-tissue-hierarchy_tar.gz	Zitnik & Leskovec	primary_data	OhmNet tissue hierarchy	BRENDA tissue ontology	snap.stanford.edu/ohmnet/	2017	wget	c4568a68bb83319bff854eecf73a93f698fe2c41ed6e95639af974dd024ffef7	current	tissue hierarchy context	data/primary/bio-tissue-hierarchy.tar.gz
/mnt/user-data/uploads/bio-tissue-readme.txt	Zitnik & Leskovec	documentation	OhmNet dataset readme	n/a	snap.stanford.edu/ohmnet/	2017	wget	7f3372f8ae3a90852951c73b18980386ceb4ad2f5d32d81366adf22fd75e2b20	current	documents data collection methodology	data/primary/bio-tissue-readme.txt
/mnt/user-data/uploads/ohmnet-master.zip	Zitnik & Leskovec	code	OhmNet embedding algorithm (no preprocessing code)	n/a	github.com/snap-stanford/ohmnet	2017	wget	4cfcbb9dc07f915dbd6ca9a78ff8f96da811922f2b01606e4610fa0d3d784e2d	current	confirms no label/feature generation code exists	data/primary/ohmnet-master.zip
/mnt/user-data/uploads/OhmNet.pdf	Zitnik & Leskovec	paper	OhmNet paper (Bioinformatics 2017)	n/a	doi.org/10.1093/bioinformatics/btx252	2017	download	e60daf8341d0e322ce58e7c6ad194f7e4b573df7c8aba1716ad78c98992b02fe	current	describes data sources, cites Greene 2015	docs/OhmNet.pdf
/mnt/user-data/uploads/Greene2015.pdf	Greene et al.	paper	GIANT/HumanBase paper (Nature Genetics 2015)	n/a	doi.org/10.1038/ng.3259	2015	download	15c734d37bf63dc586d9bfb95673612209a2f2d298a0a1dc84fa63a1d7a17ce2	current	defines GO evidence codes {EXP,IDA,IPI,IMP,IGI,IEP}, gold standard methodology	docs/Greene2015.pdf
/mnt/user-data/uploads/Greene2015_sup.pdf	Greene et al.	supplementary	Greene 2015 supplementary figures	n/a	Springer supplementary	2015	download	89e84c545590a3d34890f24cf6543a336b59cace8926a83701f503afcd979ed9	current	additional methodology details	docs/Greene2015_sup.pdf
