GeneID,gene_symbol,candidate_accession,present_in_GPI159,GPI159_symbol,surviving_GAF159_rows,surviving_direct_GO_IDs,predicted_label_count,predicted_label_columns,observed_label_count,observed_label_columns,exactly_matches_observed_label_row
7957,EPM2A,B3EWF7,1,EPM2A,2,GO:0016239|GO:0032007,17,0|11|15|21|30|32|50|51|52|54|60|90|98|101|103|113|115,17,0|11|15|21|30|32|50|51|52|54|60|90|98|101|103|113|115,1
7957,EPM2A,O95278,0,,0,,0,,17,0|11|15|21|30|32|50|51|52|54|60|90|98|101|103|113|115,0
7957,EPM2A,H0UI04,0,,0,,0,,17,0|11|15|21|30|32|50|51|52|54|60|90|98|101|103|113|115,0
29901,SAC3D1,A6NKF1,1,SAC3D1,0,,0,,0,,1
29901,SAC3D1,F8WC89,0,,0,,0,,0,,1
29901,SAC3D1,A0A6I8PRW4,0,,0,,0,,0,,1
29901,SAC3D1,H9KVA8,0,,0,,0,,0,,1
10159,ATP6AP2,O75787,0,,0,,0,,0,,1
10159,ATP6AP2,B7Z9I3,0,,0,,0,,0,,1
10159,ATP6AP2,Q5QTQ7,0,,0,,0,,0,,1
10159,ATP6AP2,Q6T7F5,0,,0,,0,,0,,1
10159,ATP6AP2,Q8NBP3,0,,0,,0,,0,,1
10159,ATP6AP2,Q8NG15,0,,0,,0,,0,,1
10159,ATP6AP2,Q96FV6,0,,0,,0,,0,,1
10159,ATP6AP2,Q96LB5,0,,0,,0,,0,,1
10159,ATP6AP2,Q9H2P8,0,,0,,0,,0,,1
10159,ATP6AP2,Q9UG89,0,,0,,0,,0,,1
