artifact_name,absolute_path,size_bytes,sha256,category
B104_DELETION_CLEARANCE_20260828T030759Z.md,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/B104_DELETION_CLEARANCE_20260828T030759Z.md,959,7a75691c7c4314fa497c0979f4a6db79cfc3a302e882d0d98bdb48d6122e2529,B104_root
B104_EXECUTION_DIAGNOSTICS_20260828T030759Z.md,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/B104_EXECUTION_DIAGNOSTICS_20260828T030759Z.md,4281,685722d8b6360290ca7f09053f1a9cc38757092efa81452a2e9939a7f7a4528a,B104_root
B104_REPORT_20260828T030759Z.md,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/B104_REPORT_20260828T030759Z.md,11356,79d7882afe2d653dfa7ed977a943c8c8e3a939e424f52a08eae87ad98e65d1fa,B104_root
B104_analysis_summary_20260828T030759Z.json,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/B104_analysis_summary_20260828T030759Z.json,121648,e356fa57723fad63b20c4d44d30c5654c2a28ad2b3bce4a051de6cad8d9b5cd1,B104_root
B104_evidence_mask_results_20260828T030759Z.json,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/B104_evidence_mask_results_20260828T030759Z.json,18016,b09483c26577707f9cda72d9e10e1bf8d8ddfed6af1f87f2dae4ebc6e5657fb0,B104_root
B104_gaf_gpad_reconciliation_20260828T030759Z.json,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/B104_gaf_gpad_reconciliation_20260828T030759Z.json,611,c2fc125ec2742108d11cd7f97843c0cd9f6c12e3e814cfcc85a2cdda81d6c64c,B104_root
B104_headers_and_raw_stats_20260828T030759Z.json,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/B104_headers_and_raw_stats_20260828T030759Z.json,5358,843bfb5ebadcd0f88656783c07f4d214b9d75452c4b95b32b0beabafa06793d0,B104_root
B104_input_integrity_20260828T030759Z.csv,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/B104_input_integrity_20260828T030759Z.csv,1375,a875e65d61b5b10b71a23c898ea2d84a30563d31ac5abefcdcba03d6144c3f9e,B104_root
B104_output_checksums_pre_report_20260828T030759Z.csv,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/B104_output_checksums_pre_report_20260828T030759Z.csv,5329,24572f14b27c0aa983e9e7058a8e5839f1f0e8e2fe1a3b2daad6b0153e4e20ba,B104_root
B104_GPI158_to_GPI159_changes_20260828T030759Z.csv,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_GPI158_to_GPI159_changes_20260828T030759Z.csv,6899,2951c76633722710ef116a05935d9884c506d4351c3e4d3875b52c264c5571d1,B104_root
B104_accession_GeneID_mapping_edges_20260828T030759Z.csv.gz,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_accession_GeneID_mapping_edges_20260828T030759Z.csv.gz,45549,b32dc309aad418954a20eab90396d7001597a8748fa475f633f84f6b0de99856,B104_root
B104_alternative_hypothesis_checks_20260828T030759Z.json,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_alternative_hypothesis_checks_20260828T030759Z.json,2561,4668d914917f31d1aa00de97b7b3d4c484f5051bac8992b3d426a462e882ac27,B104_root
B104_ambiguity_preserving_mapping_components_20260828T030759Z.csv,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_ambiguity_preserving_mapping_components_20260828T030759Z.csv,771,f27abf73d5a00e50dade5031d40d0bae22aa9a78470adcb70fa4517bbef24476,B104_root
B104_annotation_date_cutoff_sensitivity_20260828T030759Z.csv,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_annotation_date_cutoff_sensitivity_20260828T030759Z.csv,115597,2fa7072026a73c78b307c8c3de55c0b88efb9ea2d023b39fdeaca46d01fd5262,B104_root
B104_gpad_ECO_projection_multiplicity_20260828T030759Z.csv.gz,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_gpad_ECO_projection_multiplicity_20260828T030759Z.csv.gz,6985,b56959e1da3aee1300bb56169ebcc76e4fda68ef38d05987f964c6ed43f9d109,B104_root
B104_identifier_mapping_watchlist_20260828T030759Z.csv,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_identifier_mapping_watchlist_20260828T030759Z.csv,6182,7a8ab56ea344a173f181a7c73dcd2b09e297ce07cb58becde485bfc0420507b0,B104_root
B104_identifier_mapping_watchlist_20260828T030759Z.md,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_identifier_mapping_watchlist_20260828T030759Z.md,5033,d39d02a30b17951be858b87aed559f4900ed18527f25694ecdfbf9d059b0feb8,B104_root
B104_label_to_GO_mapping_release158_159_20260828T030759Z.csv,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_label_to_GO_mapping_release158_159_20260828T030759Z.csv,24030,78d79985df507d63fd6b14a68be88dcf52fd643cde63e57f8854335e6144e704,B104_root
B104_mapping_policy_sensitivity_20260828T030759Z.csv,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_mapping_policy_sensitivity_20260828T030759Z.csv,421,84f1f881d897d7482f271ec607feb544ec298844d19bb5c1f202c947d0c5ea2f,B104_root
B104_release158_to_159_gene_label_changes_20260828T030759Z.csv.gz,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_release158_to_159_gene_label_changes_20260828T030759Z.csv.gz,9581,c384fb9f43bb5fe1a931537ce83bc839892d6ad43cb209c4c0c4d09d8a495b8c,B104_root
B104_residual_false_positives_on_all_zero_genes_20260828T030759Z.csv,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_residual_false_positives_on_all_zero_genes_20260828T030759Z.csv,248,e7f153ce8ada2f86f6cb7eed61c5934c9584da1b169a2181cf8ca1980297e328,B104_root
B104_source_leave_one_out_20260828T030759Z.csv,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_source_leave_one_out_20260828T030759Z.csv,910,7f919bbc67d65ce7a6dde8376616d051c28b6eed778ee2a91c4e4f388eca6005,B104_root
B104_temporal_identifier_audit_7957_29901_10159_20260828T030759Z.csv,/mnt/data/ppi_repro_corrected/batches/B104_20260828T030759Z/analysis/B104_temporal_identifier_audit_7957_29901_10159_20260828T030759Z.csv,1708,d163082376b8aec413a7dd009149523e5b9e908eaba677d2466698a3718c5638,B104_root
